#weapon id

BOW,00_0000,希望之弓/期冀之弓

BOW,00_0001,炎尾弓

BOW,00_0002,燎火炎尾弓

BOW,00_0003,强力狂野弓/密林射猎弓

BOW,00_0004,辟虐弓

BOW,00_0005,卡利斯托辟虐弓

BOW,00_0006,波涛弓/狂澜波涛弓

BOW,00_0007,煌雷弓/煌雷霹雳弓

BOW,00_0008,女王猎弓/女王旋律

BOW,00_0009,烈阳弓/日珥弓

BOW,00_0010,视野of失落/视野of绝望

BOW,00_0011,影蜘蛛柔韧弓/影蜘蛛柔韧弯弓

BOW,00_0012,风甲弓/射蚀风甲弓

BOW,00_0013,BOW_13

BOW,00_0014,机械弓/天使之足(满级)

BOW,00_0015,鸟币弓/怪鸟币弓

BOW,00_0016,雷光弓/高压雷光弓

BOW,00_0017,弓箭箕宿一/叛弓箕宿一

BOW,00_0018,雪狮毗湿奴弓/狮王毗湿奴弓

BOW,00_0019,亡国的丘比特之足

BOW,00_0020,护锁刃弓/护锁刃弓·特里斯坦

BOW,00_0021,狐弓【露湿乱世情】/投箭远弓之真弦

BOW,00_0022,虚无之弓/布斯威尔之暗弓

BOW,00_0023,白炽弓萨麦尔/炽光弓萨麦尔

BOW,00_0025,锁刃弓/锁刃弓·特里斯坦

BOW,00_0029,苍世龙弓/苍世龙弓【天翔】

BOW,01_0001,龙穿弓/真·龙穿弓

BOW,01_0003,猎弓/强力猎弓

BOW,10_0000,白炎弓/冕耀之弓

BOW,10_0001,护辟虐弓/狂暴护辟虐弓

BOW,10_0002,护雷白弓/闪电护雷弓

BOW,10_0003,机械弓/天使之足(原始)

CHARGE_AXE,00_0000,缠蛙兵装

CHARGE_AXE,00_0001,缠蛙强蓄盾斧

CHARGE_AXE,00_0002,希望兵装/期冀兵装

CHARGE_AXE,00_0003,刺花盾斧

CHARGE_AXE,00_0004,毒蛛刺花盾斧

CHARGE_AXE,00_0005,波涛盾斧/狂澜波涛盾斧

CHARGE_AXE,00_0006,沼喷盾斧/沼喷蛇毒盾斧

CHARGE_AXE,00_0007,煌雷盾斧/煌雷霹雳盾斧

CHARGE_AXE,00_0008,焰火盾斧/雌火盾斧

CHARGE_AXE,00_0009,炎斧俄里翁/红莲斧俄里翁

CHARGE_AXE,00_0010,力量of堕落/力量of破灭

CHARGE_AXE,00_0011,阿剌克涅之鳞/阿剌克涅之镰

CHARGE_AXE,00_0012,风爪盾斧/蓄蚀风爪盾斧

CHARGE_AXE,00_0013,狱焰盾斧/恶蛸狱焰盾斧

CHARGE_AXE,00_0014,狐衣斧【镜花水月深】/白布衣斧之帝王

CHARGE_AXE,00_0015,机械防御者/时间齿轮(满级)

